Review,title,Rating
"Menu is small, but that's a positive. Cafeteria style, choose from a couple of main dishes and they generously dish it up in front of you at the counter. Unique atmosphere! Had my meal with an old memorial stone under my feet, as it truly...More",Cracking value food and unique ambiance,4.0
I have walked past St. Martins and never ventur in until earlier this week. I was knocked out by this s spacious cafe. I only had time for tea and cake. Tea came in a pot and the cake was very fresh plus prices were...More,Amazing location!,5.0
"An attractive cafe to stop for a coffee and we used it as a meeting place before a day out in London. Fresh coffee and a danish for breakfast. Lovely. This church is on Trafalgar Square and just around the corner from Covent Garden, and...More",Where else can you eat with dead people?,4.0
"The main course consisted of mixed vegetable in pastry with a dolop of mashed potato with bits of cabbage and peas. It looked like a bad school meal and it was not value for money.
The salad of 3 choices was fennell chopped up, very...More",Great venue,4.0
"Dear Jacqui
I am very sorry you found your meal disappointing. And I can only apologise that we did not know about it while you where here as we would have been happy to offer you an alternative meal. At the time of your visit...More","Cheap, good quality food",4.0
"I had a meal there last week. I was disappointed that evening as my food was not hot enough - however, the kitchen staff were very apologetic and helpful - the food was immediately reheated for me. My companion had the soup and it was...More",So good we went twice!,5.0
"Great place for brekky. Traditional breakfast just wonderful. Don't forget to try the porridge, just wonderful. The atmosphere in the Crypt is amazing. Really worth the visit. Do an antique etching while you are there.",Mixed Felling by the Family,3.0
Always have at least one supper in St Martin's Crypt cafe. The food is always excellent and at a great price. Profits also go to support the work St Martin's does for the homeless. And as a starter before Vivaldi upstairs - what could be...More,Fascinating location for a coffee,4.0
We visited this very good self-service café for lunch. We had the two-course menu (chicken and apple crumble) with a glass of wine and the vegetarian main course plus a soup as a starter. The main room became crowded after noon but the acoustics are...More,Not what I expected,2.0
We decided to have lunch here pre-theatre having eaten here before. Just a short stroll from Leicester Square tube station or Charing Cross station. Set literally in the crypt of the church where you are dining on top of tombstones! There was a good selection...More,Unique setting for a comforting meal,5.0
"We were looking for a cafe near Trafalgar Square and saw a sign for this. There's only a few stairs or a lift . It's much bigger than we were expecting and comfortably busy.
As it's under the ground the temperature was just perfect, and...More",Reasonable and available anytime,5.0
"It's nice and cool, the food is good, and ice is available. During a hot summer day, what more is there? Oh, the layout is cafeteria style, but the staff is friendly and helpful if you have questions.",Great afternoon tea,5.0
I have visited the Cafe twice. The food is amazing. The location is brilliant - beside Trafalgar Square. The food selection is good and wholesome. The soups are really great.,A special Central London Cafe,5.0
"This is a fantastic little gem, in the crypt under the church. Just across the road from the gallery. Food is reasonable and good, and it is lovely being down in the crypt with the columns and architecture.",Convenient Cafe,3.0
"Stopped by for fish and chips on a Friday at lunchtime. Unique venue with good food at reasonable prices. Perfect for groups, families and solo travelers.","Great location, good food",5.0
"A great atmosphere and you can always find a seat tucked away in one their lovely crypt areas. Fantastic for coffee with a friend. Great artwork in exhibit, showing photographers from Eastern Europe- definitely worth a visit.",Cafe in the Crypt: An Oasis,4.0
"Tea and apple crumble was excellent. beautiful church with warm glowing crypt, ample seating , good choice of food and beverages, clean toilets. Visit the church upstairs.","Nice place, and too expensive near Trafalger square",4.0
Very good food. We had soup and a main dish with added desert. All for a good price. The ambience was very cool. We would suggest it if you are ever in London's west side.,Lovely little dining area outside,5.0
"Visited twice. Enjoyed awesome value main course and dessert deal on first occasion and just a very fairly priced glass of wine on the second. Returning to London soon and looking forward to another meal. Good, honest food at an unbeatable price in an amazing...More",Poor value,2.0
We had breakfast here. The crypt was incredible and so beautiful. The food was yummy and affordable! It was a great place to grab a quick bite before heading off to tour London.,Our favorite place for lunch in London. ,5.0
Ate here in the cafeteria style cafe in the crypt of St Martins in the Field off Trafalgar Square. The tables are set on top of the graves in the floor of the Church basement and you can eat here pretty cheaply with the family...More,Not worth it,1.0
"This is a great place to meet friends for lunch or coffee, although it can get quite busy at lunch time. I've used it regularly and would recommend it. Very relaxed atmosphere. Excellent location between Trafalgar Square and Covent Garden. Cafe is in the basement...More",What a location!,5.0
I eat here whenever I'm in this part of London. The food is consistently good and I love the salads. It's also a fairly unique venue.,Disappointed,2.0
"We had wanted and been meaning to visit fir ages..... and location combined with a wet morning gave us the perfect opportunity!
.... and it was so good that we went back!
EVERYTHING looked delicious for the cakes to the main courses and soups. And...More",Perfect for a quick drink!,4.0
"I would probably give it four stars and my wife would probably give it three, so we are giving it three. Compromise is the key to a good marriage. The positives were that it is a unique setting, a good cause, and the food was...More",Unique Lunch Venue,4.0
This is a great spot for a coffee - as long as you don't mind the notion that you are eating amongst the tombs of the long-since departed. There are some fascinating gravestones and it all conjures up a unique atmosphere/,Cafe in the crypt,5.0
I had been wanting to go the the Cafe in the Crypt for so long as I'd read about it and seen pictures but in reality it was not what i thought it was going to be. First impressions was that it was more like...More,A quick bite on the way to a show,4.0
Thank for sharing your thoughts on our café. Yes it is a buffet which not only offers customers an opportunity to see their choices beforehand but also enables us to change the menu on a regular basis. We hope that the next time you are...More,Quick stop on route to theatre,5.0
"The Cafe in the Crypt is a lovely small cafeteria-style cafe in the basement of a the St. Martin in the Fields church.
BEST:
*Small menu. Small menus indicate a focus on quality over quantity. There are just a few options for hot dishes, soup...More",Nice cafe,5.0
"Whenever you want, you can eat and drink here. If you can't find the place to sit, try to find another room. There is a big space for you the other side. I always visit here to eat light meal for dinner. Very good place.","Second visit, this time for afternoon tea",4.0
"Went here and sat in the outside cafe, food was very good, service good and not overly priced. Nice place to sit snd unwind with a cuppa escaping the madness of Trafalgar Square but only a stones throw away. Well worth a visit.",Sorry supper,3.0
"Taking up all the Crypts underneath the famous St Martin-In-The-Fields Church this wonderfully hidden away and evocative Cafe & Restaurant is well worth seeking out.
It's quiet, cool in Summer and warm in Winter, oozes history and just wonderful.
The Food & Drink is of...More",A unique location with good food and entertainment,5.0
Underneath St Martin's Church (entrance easiest through the glass structure north of the main church) on Trafalgar Square this is conveniently central as a meeting place. I know several people who recommend it and regularly meer there but I find it very noisy if you...More,Dreadful,1.0
"Being on Trafalgar Square is great. There are lots of snacks, usually 3 or four hot meals (lunch and dinner) changed every day. Really good to combine this with a free lunchtime concert in the Church above, which has a top notch reputation.",Hidden gem,4.0
"At times in hectic London one wonders how can I escape the hustle and bustle and have a sound, inexpensive meal at the same time.
Well right in Trafalgar Square, of all places, is St Martins in the Field, where you will find the Café...More",Quick food cafe in Trafalgar Square,3.0
We stopped here for coffee and cake. Very surprised to find this in central London! Dinners looked good & a lot people waiting for it!(in a good way!). They cake was really nice,Appalling waitress,3.0
"Went here with friends and enjoyed prosecco and nibbles in the lovely little covered dining area at the back of the church. Lots of opportunity to watch the world go by! Very tasty sharing platters and friendly, attentive service. Good value for central London ......More",Ambiance and Great Food,5.0
"I visited early evening on Tuesday wanting a quick snack and chose a boiled egg and spinach sandwich. The bread was stale and dry on the edges, it hadn't been buttered and there was barely any spinach or dressing. The whole thing was dry, dull...More",Satisfying hot meal with free water,5.0
"Dear Marilyn,
Thank you for taking the time to share your thoughts on your visit. I am sorry that we were unaware of the problem while you were here as we could have offered an alternative. I have shared your feedback with the chef and...More",Soup and Pud - heaven!,5.0
"Cannot praise this cafe enough. It is located downstairs from the magnificent St. Martin in the Fields Church in Trafalgar Square. Walk down the stairs to the left of the church and enter a quiet space, away from the noise and traffic above. The cafe...More",Good food,4.0
"We ate here upon first arriving in London. The atmosphere seemed nice, but the service was horrible and we found the staff to be very rude. The soup was watery and the chicken was bland. Not only was the food bad, but it was also...More",Nicefor a cuppa and a scone!!,4.0
"Dear Lisa,
I am very sorry that you found your visit to be very disappointing. We have discussed your review at our staff training meeting and have identified areas for improvement in customer care that are being implemented.
Thank you for taking the time to...More",Stalwalt,4.0
"Beautiful spot for a cup of coffee; warm and sheltering in the colder seasons, and lovely and cool in the summer months. Often has a good exhibition on the go too!
(Have heard lady on the till be very rude to tourist who wasn't too...More",Interesting location for food and drink,4.0
"We visited here for a quick bite to eat after a walk around London. We were very disappointed with it. The place itself is a great building and has a lovely atmosphere. The food, however, was awful. The counters were all in the wrong order,...More",Full English breakfast ,3.0
"Dear Sammi,
I can only apologise that you found your meals to be disappointing. And I am sorry we were unaware of the issues on the day as we would have been able to offer you an alternative. I have passed your comments on the...More",Great lunch,4.0
Stopped in at the cafe in the courtyard for a quick drink before a gig at Pizza Express. What a beautiful location. Why pack into a sweaty pub when you can sit outside and enjoy a drink while watching the world go by? Fabulous!,Absolutely dreadfully shocking!!! ,1.0
Seems like a few of the British churches are making use of their crypt areas by locating their cafes there. St. Martin's crypt has beautiful vaulted ceilings. The food is served cafeteria style and is more than ample. Prices are very reasonable for London. We...More,A different experience,4.0
"A different venue to enjoy coffee, cake and/or lunch/dinner. Plenty of seating and service was quick and staff friendly.",Great atmosphere but noisy,5.0
"This is the second time this month we have visited, and numerous times previously.
You can have a full blown meal, or just a snack, or even just cake and tea which is what we did yesterday. Highly recommended and very central, even have Jazz...More",Food alright although service could be better,3.0
We called in this unique cafe in the crypt of St Martins. We had teas and cake which was very tasteful. There are plenty of tables and the self service was very efficient. Also plenty of people clearing tables. Very good place to eat in...More,Interesting site and great 'home cooked' food,5.0
"We stopped in before a concert, it is located in the crypt like basement of the church, very well refurbished with historical markers left in place.","Good Food, a Good Deal, and Excellent Atmosphere",4.0
"I ate at the Cafe in the Crypt last year (dinner before a concert upstairs in the church). This time, I had afternoon tea. A very good bargain. The wait staff were very accommodating--I don't eat meat, so they substituted vegetarian tea sandwiches for those...More",Great food in a crypt,5.0
I invariably meet friends here when I go to London as I did last Monday. We had good coffee and sandwiches at lunchtime. Before I caught my train back to Sussex in the evening I decided to have supper there too. I was really disappointed....More,First class breakfast,4.0
"Dear Mary,
I am delighted that you enjoyed your coffee and sandwich but am very disappointed to read that your evening meal was not up to our usual standards. We would always aim to offer a replacement if a customer is unhappy and I am...More",A different place to eat!,4.0
"Don't miss the Cafe in the Crypt when you are visiting London, located in the basement of St. Martin in the Fields church, beside the British National Gallery in Trafalgar Square. The location is unique, sitting on tombstones to eat your meal. Great jazz on...More",Miserable and rude member of staff,1.0
"Invited friends for a lunch , but highly embarrassed by the awful fare. Three of us had salads, quinoa sprouts dry and tasteless, three-bean floating in a dish of slop, and fennel so hard that in cutting it we all ended with spatter on our...More",Eat well and cheaply in London,4.0
"Dear Marmite-eater,
I am very sorry that you found your meals disappointing and not up to our usual standard. Had we known on the day we would have spoken to the chef and provided you with an alternative. I can only apologise and hope you...More",Quick bite to eat.,4.0
"We've been here a couple of times and are always surprised that in an area densely packed with tourists, this place always has plenty of free tables. The food is quite good, and relative to how expensive it is to eat out in London, pretty...More",Excellent for coffee and cake!,5.0
"Almost a hidden gem, this cafe is under the church - and on the days I visited, it wasn't packed at lunchtime.
Food was reasonable (although I found the soups needed more salt!). It was also not over expensive for its location - with profits...More",Dinner,3.0
"So a regular here and food is always pretty good, however the sheer arrogance of the waitress who decided to shout rules at us across the outdoor cafe left me feeling a little bemused. In fairness her Team Leader, Juan I believe was great and...More",Disappointing,2.0
"Dear LondonStevo
Thank you for letting us know about your experience and I can only apologise as it clearly was not a positive one. I will be addressing this with the Café Manager
as this indicates a need for some further customer care training which...More",Easy and good location,3.0
"This cafeteria-style cafe is in the basement of St. Martin in the Fields Church. Has great ambiance and wonderful food with a wide selection. Cafeteria style, go-through-the-line service. I would highly recommend. This is just across the street from Trafalgar Square and there is a...More","Easy and tasty, great location",4.0
"I always dine here once whenever I am in London. Lovely place to fill up and to take a break from all the walking. I ordered pork, purple onions and broccoli at 10.99 pounds.
Portion is quite large. I could request to change the chips...More",Simple but good food in lovely surroundings,4.0
"We found this place some time ago and now visit at least once when we visit London. We usually have the Soup and Pudding combo. Large bowl of hearty soup with an ""old school"" pudding. This time apple and rhubarb crumble with your own jug...More",So so,2.0
The food was good. Buffet style and there were options for all of us. The food portions were generous. The ceiling and atmosphere were amazing.,Always a winner,4.0
"A visit to the Crypt is very welcome after a day visiting the area around Trafalgar Square and beyond. The vaulted ceilings, headstones in the floor and wooden tables make this a very interesting place to sit and relax.
The toilets are clean and easy...More",A Little gem in London,4.0
I remember coming here thirty years ago when the only access was down some steps from the street. Now there is a dome structure with spiral stairs and a lift descending to an exhibition space. Otherwise it's largely as I remember it: food offtered buffet...More,Went for a pre theatre meal.,5.0
We have visited The Café in the Crypt on several occasions and it is an unusual but interesting location for a cafe. Food is served cafeteria style and is standard cafeteria food with a couple of main course options each day (one meat and one...More,Best Apple Crumble Ever!! And an atmospheric crypt to boot.,5.0
"Enjoyed breakfast at the crypt while waiting for our nearby hotel room to be ready. Was surprised at the cafeteria type feel where you had to go through 'the line'. Was honestly expecting a little more. Food was ok, scrambled eggs, the only egg option...More",An unusual place to have lunch in the crypt of this beautiful church.,4.0
This is an unusual place to put a café but it works perfectly. It's a help yourself place and has specials such as soup and a sandwich or soup and warm dessert. My lentil soup with coriander was excellent and a good size portion. There...More,Unexpected surprise,4.0
"My partner, myself and his folks(elderly in their 70's/80's) came here for lunch thinking it would be a lovely experience after a warm sunny day looking in London.
However this was just beyond dreadful!!!!!
The food is shocking!!! The service. Needs improvement.
We had two...More",Good food at fair price,4.0
"Dear Amy
Thank you for taking the time to give us your feedback and I can only apologise for our pour customer service and food on this occasion as you were let down on both. I will follow this up with the Café Manager to...More","Hearty, home made soups",4.0
"I loved the arched ceilings, I was taken back by the buffet styled service, nut it was very good and hot food. The food was mostly ""traditional English fair"".",Delicious simple food at a special place,4.0
Went here to catch up with friends. There was a band in so we purchased tickets at the door but were only able to sit in certain areas. As we were catching up with friends it was a bit hard to talk over the music....More,A unique space - SMITF offers for value-for-money dining & coffee,4.0
Came for dinner around 7pm on a Friday night. Canteen style with the food there waiting to be served. Picked the vegetarian option which was a cauliflower and broccoli bake with potatoes and a warm coleslaw. Was not advised that they had no coleslaw left....More,"Superb, atmospheric, canteen style eatery",5.0
"Steps away from Trafalgar Square a great place to catch a meal.
A beautiful church above and a crypt below, this was not my first visit here, I came back for the view, the price and the great tasting food.
If you are looking for...More",Great Place for A Quick Bite to Eat,5.0
"St. Martin's is a good deal, located right off of Trafalgar Square, and you can easily eat lunch for under ten pounds. The have a few vegetarian options, and I love their soup. Plus, you get to eat in a crypt and listen to live...More",Reasonably decent food and good choice for casual dining and large groups,3.0
Actually is located in the crypt below St Martin-in-the-Fields church in Trafalgar Square. Cafeteria-styled but with great food at an affordable price.,Nice for a coffee,2.0
"I wanted somewhere different for breakfast & this fitted the bill perfectly.
The breakfast was buffet style, but served up for you. I had my favourite, scrambled eggs on toast & I was given a choice, white or brown. The other items looked good as...More",brilliant,5.0
"Visited on a Saturday lunch time so quite busy,but we did not have to queue for long and we did get a table. There was a good choice from a hot meal to up-market sandwiches, cakes and drinks. Not cheap, but not too expensive as...More",Great place,4.0
"On a day out in London my wife and I called in for cake and coffee. Only a small queue and we choose a cake and continued down the line to order coffee. We then saw displayed apple crumble , so changed our minds re...More","Well cooked, but abysmally organised",3.0
"Dear Tony
Thank you for letting us know about your experience. Please accept my apologies
that our customer service was very lacking on this occasion. I will follow this up with the Café Manager to identify and fill any gaps in our training to ensure...More",Not just a church...,4.0
"We had delicious soup, carrot and coriander in this delightful eatery after a visit to the nearby National Gallery. A bit of an oasis in the heart of London and healthy food at a very reasonable price. plenty of room to sit comfortably and interesting...More",Just the ticket,5.0
We were on our way to the Garrick Theatre and decided to stop off here for a quick bite before the show started. Although it is self service the food is really good and tasty. We both had salads with a protein pot each. The...More,Gary K,1.0
Love this place! Ideal for meeting friends and good quality coffee and cake in a great and atmospheric old place. Underneath an amazing church full disabled access is there.,Made me want to join the church,4.0
"I was quite disappointed with our visit here for dinner. The actual crypt is a great location. However the limited food menu was a bit of a surprise, it was fish and chips with peas or broccoli bake and veggies. We got the two courses...More",Great place for a pitstop and regroup,4.0
"Have been here several times, but today was very disappointing. Soup tasteless and cold. Little choice of hot or cold dishes left at 1pm.",Little Gem,5.0
"After visiting the beautiful church for a concert, we came to the cafe in the morning for breakfast. The surroundings are interesting, but the character of the place was lacking a little with the décor etc. It did feel a little like a school cafeteria....More","Poor breakfast, wonderful kocation",3.0
"The Cafe Crypt was a perfect find for a quick bite before the theatre. Cafeteria (tray style) with a couple of hot dishes, salad choices, soup and sarnie.
Cauliflower and Stilton soup was thick and presented deep flavours. Salads with salmon and fennel were bang...More","Good Food, Good Cause",5.0
Good for a snack pre-concert and a drink at the interval of classical concerts in the church. The shops also have some interesting collectors items for sale.,Value For Money In An Amazing Setting,5.0
Let me first say that the church was lovely. Would love to have been able to make one of the many concerts they have. BUT we were really disappointed by the cafe downstairs. Here you are... surrounded by graves... or should i say walking around...More,Cosy crypt cafe,4.0
"If you are in the Trafalgar Square area and are looking for inexpensive snack or meal, try the Café in the Crypt. It is underneath St. Martin in the Fields and they now have a fancy outside entrance with elevator where there was once a...More",Great,5.0
I went with a friend to see the Michelangelo & Sebastiano exhibition and the National Gallery yesterday. We decided to have a light lunch in the Crypt cafe near the gallery. I had been several times before on trips to London and have always found...More,Great place for any afternoon,4.0
"Have used the restaurant a number of times and always found the food great. Not always a vast selection but there is is good.
Costs are reasonable especially for the specials.
Always a vegetarian option available.
Staff are friendly and helpful.",An interesting location...,4.0
"Love this very atmospheric Cafe which is ideally situated next to National Gallery and National Portrait Gallery. A good variety of food, but there's one dish they excel at and that's APPLE CRUMBLE!!! London wouldn't be London without an Apple Crumble at St Martin-in-the-Fields. The...More",Lovely lunch in central London,4.0
We have eaten here several times but I felt the standard if the food had gone down. We had sandwiches which were made with white sliced bread which didn't look very appetising but tasted ok. Fir £3.95 I would have liked a decent bread. The...More,Great for dinner,5.0
Sat in Saint James park needing a cup of tea we googled nearby cafes and discovered the crypt. Five minutes later we were enjoying a lovely cup of tea and a large slice of cake. The café was very busy but everyone seemed to be...More,Awful afternoon tea,1.0
"Still able to get lunch freshly cooked late in the afternoon. Excellent fish and chips with mushy peas.
Only drawback with this place is that due to its popularity may take a little searching to find a vacant table.
Could also possibly do with additional...More",Nice cafe,5.0
We were looking for a place to eat near Trafalgar Square and we found a perfect spot in the Crypt of St Martin in the Fields. The food was well priced and the two soups we had were delicious. This is a cafeteria style cafe...More,Good grub in an interesting location,4.0
The cool stonewall and lighting create a special atmosphere at the crypt. It is spacious and relaxing to take refreshment. The choices of food were not too much but they were delicious. Hot food would easily be consumed but had been refilled as soon as...More,Hidden Gem,4.0
"It's ideally placed, so often come here when either going to the theatre or shopping in London. It's cafe style dining offers good food at good prices - particular favourite is fish & chips on Friday- and this visit was no exception. Staff are friendly,...More",Convenient and cheap restaurant in central London,5.0
"Self service-traditional British food. Adequate but limited menu.
If you do go here, make sure you look in on the church upstairs as well. It was rebuilt in seventeen something and has lots of useful things to look at. Likewise the various exhibits on this...More",Tucked away but central,4.0
"Tasty food choices available in this cafeteria-style restaurant. Choose from prepared sandwiches, soup, cold salad choices and hot entrees.",Must visit if you are in London,5.0
"This is a cafeteria underneath the church with decent food at fairly reasonable prices. I was not amazed by the food but it was filling and fun to eat in a vaulted crypt. If you have a large group, there are tables in the back...More",Sunday special,3.0
"The place is nice, good atmosphere, but the food from my point of view is terrible. I would only recommend it for a coffee , tea or refreshments.
We had a salad that was tasteless and nuddles with ricotta and spinach that I just couldn't...More","Nice place , cool atmosphere",3.0
"Great atmosphere for a lunch stop. Super food from sandwiches to a hot selection each day, or just pop in for tea or coffee. It does get busy but don't let that put you off.
There is a nice souvenir shop too",Lunch at the Cript Cafe,4.0
I have no idea why I've never been here before. I've walked past it so many times. It's the most wonderful place and the food is good. The service is fine. It's a cafe with atmosphere despite the number of people passing through. It's a...More,"Neat experience, but...",3.0
"We were looking for a light evening meal on Good Friday and chose this on the basis of the good reviews on TA, whilst slightly concerned by the poor ones.
Having now been I'd say that both good and bad reviews are valid. We queued...More",Dinner while listening to the Duke St Band,4.0
"St Martin's is the parish church of Her Majesty, The Queen and a magnificent Wren building which is well worth a visit in its own right. In addition to religious services, it also holds regular concerts. Downstairs, reached via the church or a modern rotunda,...More",Lovely atmosphere ,4.0
What a unique way of making use of a crypt. It is cafeteria style but don't let that put you off if you are looking for somewhere for lunch of just a coffee break. They have a good souvenir shop which put a lot of...More,"Lovely apple crumble, delicious soup",4.0
"Went to lunch there today. Truly awful! The queues for the coffee so long that the hot food was stone cold before we found a seat. Then there was nowhere to put the dirty trays from the only table that was free, we had to...More",Tea before a concert.,3.0
"Thank you, TripAdvisor, for pointing us to this great breakfast spot. Three of us showed up hungry and we left well satisfied, for about what a single full breakfast would have cost in a hotel. The sausage sandwich was particularly good! The eggs looked a...More",Lovely atmosphere and great value,4.0
Great place to eat and relax. Good selection of hot and cold food throughout the day and evening. Well priced and warm welcome from the very friendly staff. Right in the heart of London by Trafalgar Square. The cafe also does an afternoon cream tea...More,This place is Unique,5.0
Serving delicious food (including full hot meals) at reasonable prices - in the crypt under the church! Unique setting - beautifully done (nothing creepy about it). Enjoy.,St Martin-in-the-Fields,5.0
"Visited for breakfast around 10.30 with my daughter with high expectations. I chose a full English & as the scrambled eggs weren't ready, the chef suggested I pay & return with the receipt. I did this expecting the eggs to take just a few minutes...More",Nice location,4.0
"Dear Ratz67
Thank you for your review. I can only apologise that we did not deliver the quality of service and food to our usual standards. I have shared your feedback with the manager and we will be reviewing this review at our regular team...More",Interesting,3.0
"I've been to St. Martins several times. Located right on Trafalgar Square, it is famous for classical concerts and for it's cafeteria located in the crypt. May sound a little creepy eating on and around grave stones of ancient people, but the food is excellent...More","Funky location, food could be better.",3.0
"A bit like queuing for school dinners in this strange but amazing restaurant near Trafalgar Square.
Tasty home-cooked food from the daily changing menu. Man-sized portions and plenty of vegetables.
Great value for money.",Crypt with food,4.0
In the morning we did some brass rubbing in the crypt (adjacent to the cafe) which was enjoyable and harder than it looks. Having worked up an appetite we decided to stay for lunch for their Sunday Roast. Given the proximity of the cafe to...More,Be careful about Breakfast deal,2.0
"My daughter asked me to rate The Crypt as the best food she had in her life:) Probably it's a little overkill (since there were plenty of the best meals till now), but I must admit that both fish and chips and vegetarian dish we...More",Interesting venue with average food,3.0
My friends and I stopped here for a tea during my trip around London. At first I thought it was a rather strange choice for a cafe for it was underground and not.. well an open place. The feeling was quickly dispelled though for the...More,My favorite place in London,5.0
This place is well tucked away but seems well-visited throughout the day - it's probably best to get in just before key meal times as it can get very busy (i.e. hunting for a table). I generally stop in for tea (Teapigs on offer -...More,It's not just a church,5.0
"A beautiful and rather unique place to meet friends or family for refreshments in the heart of London.
The Café in the Crypt offers a limited, but good-quality selection of hot meals and puddings, as well as a great spread of salads, sandwiches and drinks....More",Very interesting spot.,4.0
"Thoroughly enjoyed eating here. Architecture is beautiful and hard to believe you are truly dining in a crpyt. It is a buffet style with delicious, fresh selections. We had a choice of vegetable stew or sausage with carrots, broccoli, and new potatoes. Salads and soups...More",Tasty soup and loved the atmosphere,5.0
"If you are contemplating afternoon tea here dont bother. My daughter and i had one , what a waste of money , 2 dinky finger sandwiches , no choice and the bread was dry . 2 dry cakes nothing special about chocolate fudge square and...More",Meat and Veg Soup!,5.0
"Dear Annette
Thank you for taking the time to share your thoughts on our afternoon tea. I am sorry that you found the sandwiches and cakes to be dry and that you did not feel that the team were helpful on this occasion. We are...More",Great rest bite on tourist trail with young kids ,4.0
Gets busy here but its worth a visit. Its a unique place to relax with plenty of atmosphere. Prices are good. The soup is filling and delucious.,20 minutes for a glass of bubbly or white wine at a concert break,3.0
Good selection of vey reasonably priced food - good for a pre-theatre meal or drink. Close to Trafalgar Square and very centrally located.,EXCELLENT MEETING PLACE,5.0
Stumbled upon this place last year and its become a regular stop off on our trips to town. Great for a quick coffee and cake or a hot meal. Good prices. Service is good also. Can become very busy at peek times. Always a warm...More,Great food at great prices,5.0
"In Trafalgar Square, over the road from the National Gallery. Very convenient. A very good choice of food and snacks at very reasonable prices It can get very busy at lunchtimes. But a good quality service",Best apple crumble in the world.,5.0
"Well worth finding at the side of St Martins in the Fields, Trafalgar Square, in the basement or crypt where you can have very good value wholesome food in a historic spot but always warm and welcoming",A break for elevenses in Trafalgar Square,4.0
This little hidden gem serves lovely food and coffee. Ideal for a stop off when you are sightseeing. Doesn't look much from the entrance but once you go down the stairs into the Crypt it is amazing. Worth a trip,Good for afternoon tea ,5.0
"Went for lunch with the family during St.Patrick's parade. Ordered their Sunday special. For £16.95, you get a huge portion of roast beef, vegetables and potatoes. The beef was so tough I couldn't even cut it with my knife. I was wondering how those old...More",Just Lovely!,5.0
"Dear tmhl2017
I am very sorry to hear that you found your beef disappointing. We usually have very positive feedback on our beef so we have taken up your comments with our butchers to see if perhaps it was a different cut or a different...More",Cake in the Crypt.,3.0
"had a quick bite to eat here while watching a concert , good selection of food hot and cold. The real attraction is upstairs where they have the concerts. Great sound and atmosphere. Reasonably priced seats , the cheaper seat where viewing is limited are...More",6 stars!,5.0
"After hours of walking and enjoying the central London sights, on a windy and wintry day, we stumbled upon the Crypt and the Church of St Martin in the Fields. On further investigation and following the wonderful cooking aromas, we were led downstairs where we...More",Beautiful location but worst cake ever eaten ,3.0
"Wished it had not felt so ""cafeteria-like"" as it's really a very neat idea to have. We had breakfast here, my bacon was so salty I simply could not eat it, and wasn't too sure what happened to my scrambled eggs but they were a...More",St. Meal,5.0
My wife and I visited the Cafe in the Crypt to hear a friend play saxophone in the Duke Street band. We ate in the cafe and had a very pleasant meal . We were joined by two other friends and shared a bottle of...More,Pretty cool place in central,4.0
Lovely atmosphere down in the crypt under the church. Good selection of food and drinks. An iconic place which is well worth a visit. Not your ordinary coffee shop or cafe.,met friends,5.0
"I have eaten here a few times, The meals are affordable and very generous portion size too. There are not many meal choices - only one vegetarian plate and one meat plate - but the menu changes daily. The apple crumble with custard is a...More",Worth a visit!,4.0
"Good cakes and coffee, some sandwiches would have been good but we were too late for them. Easy to find room to sit and it was clean.",St Martin-in-the Fields Cafe in the Crypt,4.0
"This cafe/restaurant in the brick vaulted crypt under the church is in a beautiful setting and is very convenient for the National Gallery and Trafalgar Square. Considering its location it is amazing value for a snack, coffee break or a meal. It is self service...More",Really good lunch,4.0
"Always changing menu but always good entrees, salads, soups and sandwiches are available. Never had a meal that I didn't thoroughly enjoy. The desserts are scrumptous!",Unusual but interesting place to eat,5.0
"I found it charming. Food was good, loved the atmosphere. Always stop there before concerts in the church, which are always lovely!",Wonderful food in an unusual place,4.0
"Had soup and sandwiches for lunch this week.
Soup was very nice but the filling in the sandwiches had slipped so half of it was just bread. The mature cheddar was more like pre cut, pre packed very thin slices of processed cheese. Wouldn't have...More",Good grub in the crypt,4.0
It sure is an interesting location. My husband was a little disconcerted when he realized that the tables were on top of graves. While it is an interesting idea having a cafe in the crypt they do not do a good job with the cafe...More,Good place for lunch,4.0
"Dear Sherry
Thank you for taking the time to share your feedback on your recent visit. I am very sorry if there was any miscommunication when you were here. We start serving lunch at 11.30am so a 12.00pm visit should have been the ideal time...More","Cool atmosphere, food was meh. ",3.0
"In fairness, it was 12:30 and the Cafe was very busy. But after seeing good reviews, I was disappointed. Fish and chips were well prepared, but only lukewarm. On the plus side, a bowl of potato-leek soup was fabulous.",Atmospheric cafe!,5.0
"The cafe in the lower level of St Martins is a simple cafeteria style venue which gives a choice of drinks and food. It has quite a good number of tables which are typically kept cleared fairly quickly.
The architecture alone is worth a visit....More",Good lunch stop,4.0
I took a friend to the Cafe and both had breakfast there. I took advantage of the £7.45 breakfast deal including tea or coffee. My friend just ordered three items from the breakfast offer as she didn't want the whole deal and had tea. We...More,Lovely place for lunch,4.0
"The Cafe in the Crypt at St Martin-in-the-Fields is always busy, and it's worth visiting alone just to gaze in wonder at the beautiful arches and read some of the historic tombstones that are under your feet (and under the dining tables).
I've found the...More","Not as good as they used to be, but still a worthy cause",3.0
"Yes, this is my favorite place in London. Good, hearty meals and good prices in a UNIQUE setting! I've eaten here many times over a decade, and it has never disappointed.",Homemade ,4.0
